facname,number,street,address,city,borough,latitude,longitude
FDNY COMMUNICATIONS GARAGE,,,,STATEN ISLAND,STATEN ISLAND,40.608926,-74.171329
ATLAS ROLL-OFF CORP,895,ESSEX STREET,895 ESSEX STREET,BROOKLYN,BROOKLYN,40.66230857,-73.87559439
IRT SUBSTATION # 48,2471,WESTCHESTER AVENUE,2471 WESTCHESTER AVENUE,BRONX,BRONX,40.838425,-73.845247
THE BELVEDERE,5110,19 AVENUE,5110 19 AVENUE,BROOKLYN,BROOKLYN,40.62580109,-73.98030836
J.H.S. 062 DITMAS,700,CORTELYOU ROAD,700 CORTELYOU ROAD,BROOKLYN,BROOKLYN,40.63819435,-73.97122998
SEWARD PARK LIBRARY,192,EAST BROADWAY,192 EAST BROADWAY,NEW YORK,MANHATTAN,40.71445413,-73.98852804
BENSON METAL CORP.,543,SMITH STREET,543 SMITH STREET,BROOKLYN,BROOKLYN,40.67331581,-73.99823563
DAEMEN UNIVERSITY-BROOKLYN BRANCH,3815,13 AVENUE,3815 13 AVENUE,BROOKLYN,BROOKLYN,40.64071789,-73.98582475
"IL PICCOLO TEATRO DELL'OPERA, INC.",,,41 SCHERMERHORN STREET,BROOKLYN,BROOKLYN,,
103-09 LIBERTY AVE TEXTILE DROP-OFF SITE,,,"103-09 LIBERTY AVE, JAMAICA, NY 11417, USA",OZONE PARK,QUEENS,40.682082,-73.837494
"URZONE, INC.",633,VANDERBILT STREET,633 VANDERBILT STREET,BROOKLYN,BROOKLYN,40.65412695,-73.97517987
MAPLETON CLINIC TREATMENT PROGRAM,1083,MCDONALD AVENUE,1083 MCDONALD AVENUE,BROOKLYN,BROOKLYN,40.62674873,-73.9758102
POLLUTION CONTROL FACILITY,226,NEVINS STREET,226 NEVINS STREET,BROOKLYN,BROOKLYN,40.681469,-73.986357
DANTE PARK,,,,NEW YORK,MANHATTAN,40.77181129,-73.98254357
"CEC ARTSLINK, INC.",435,HUDSON STREET,435 HUDSON STREET,NEW YORK,MANHATTAN,40.73062541,-74.00717748
AVENUE U STATION (DUAL SYSTEM BRT),,,,BROOKLYN,BROOKLYN,40.59749986,-73.97914298
ASTORIA PUG: BROADWAY FOOD DROP-OFF SITE,32-11,31 STREET,32-11 31 STREET,ASTORIA,QUEENS,40.76130177,-73.92546304
GMH PARK INC,371,HUMBOLDT STREET,371 HUMBOLDT STREET,BROOKLYN,BROOKLYN,40.71488563,-73.94311754
1 LIBERTY PLAZA,165,BROADWAY,165 BROADWAY,NEW YORK,MANHATTAN,40.709754,-74.010843
COMMUNITY FILM WORKSHOP COUNCIL,525,WEST 125 STREET,525 WEST 125 STREET,NEW YORK,MANHATTAN,40.81438827,-73.956747
BRONX GREEN MIDDLE SCHOOL,2441,WALLACE AVENUE,2441 WALLACE AVENUE,BRONX,BRONX,40.86234887,-73.86485296
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,821,BAY 25 STREET,821 BAY 25 STREET,FAR ROCKAWAY,QUEENS,40.60175562,-73.76358499
SP PLUS CORPORATION,353,WEST STREET,353 WEST STREET,NEW YORK,MANHATTAN,40.72941844,-74.01272579
HUNTS POINT ALLIANCE FOR CHILDREN,,,,BRONX,BRONX,,
NEW YORK SCHOOL OF DESIGN,1032,6 AVENUE,1032 6 AVENUE,NEW YORK,MANHATTAN,40.75267982,-73.98535017
VOORLEZER'S HOUSE,,,,STATEN ISLAND,STATEN ISLAND,40.57150714,-74.14754362
30-05 WHITESTONE EXPRESSWAY TEXTILE DROP-OFF SITE,,,"30-05 WHITESTONE EXPRESSWAY, FLUSHING, NY, USA",FLUSHING,QUEENS,40.770353,-73.833549
P.S. 77 LOWER LAB SCHOOL,1700,3 AVENUE,1700 3 AVENUE,NEW YORK,MANHATTAN,40.78501211,-73.95003054
EAST NEW YORK WORKFORCE1 CAREER CENTER,2619,ATLANTIC AVENUE,2619 ATLANTIC AVENUE,BROOKLYN,BROOKLYN,40.67593834,-73.89777396
"GOTHAM PERFORMING ARTS, INC.",,,,NEW YORK,MANHATTAN,,
"KINGS COUNTY SHAKESPEARE COMPANY, INC.",138,SOUTH OXFORD STREET,138 SOUTH OXFORD STREET,BROOKLYN,BROOKLYN,40.68514086,-73.97354594
TRAFFIC,33-00,NORTHERN BOULEVARD,33-00 NORTHERN BOULEVARD,LONG ISLAND CITY,QUEENS,40.75163044,-73.93104868
ARCH STREET YARD,,,,LONG ISLAND CITY,QUEENS,40.742566,-73.947906
77-00 QUEENS BLVD TEXTILE DROP-OFF SITE,,,"77-00 QUEENS BLVD, QUEENS, NY 11373, USA",ELMHURST,QUEENS,40.737804,-73.886166
ST ANTHONY OF PADUA,135-11,125 STREET,135-11 125 STREET,SOUTH OZONE PARK,QUEENS,40.66889394,-73.8142457
KUEI LUCK EDUCATION CENTER,67-33,173 STREET,67-33 173 STREET,FRESH MEADOWS,QUEENS,40.73367339,-73.79645524
SAINT MARY'S PARK,595,TRINITY AVENUE,595 TRINITY AVENUE,BRONX,BRONX,40.81522095,-73.9098285
"PARK SLOPE AMBULANCE CORPS, INC.",156,17 STREET,156 17 STREET,BROOKLYN,BROOKLYN,40.66525369,-73.99435881
BORDEN AVE BRIDGE,,,BORDEN AVE BRIDGE,LONG ISLAND CITY,QUEENS,40.73907188,-73.94282182
134TH STREET FARM FOOD DROP-OFF SITE,118,WEST 134 STREET,118 WEST 134 STREET,NEW YORK,MANHATTAN,40.81380458,-73.94281516
STATEN ISLAND TRANSFER STATION,450,WEST SERVICE ROAD,450 WEST SERVICE ROAD,STATEN ISLAND,STATEN ISLAND,40.581618,-74.195437
QUEENS SURGICAL CENTER,36-36,MAIN STREET,36-36 MAIN STREET,FLUSHING,QUEENS,40.76203806,-73.8320243
123-12 101 AVE TEXTILE DROP-OFF SITE,,,"123-12 101ST AVENUE, SOUTH RICHMOND HILL, NY, USA",SOUTH RICHMOND HILL,QUEENS,40.69075,-73.822259
"SOHO 20 ARTISTS, INC.",56,BOGART STREET,56 BOGART STREET,BROOKLYN,BROOKLYN,40.70578708,-73.93314773
BOYS PREP CS OF NY ANNEX,1025,MORRISON AVENUE,1025 MORRISON AVENUE,BRONX,BRONX,40.82496972,-73.87399927
QUEENS WORKFORCE1 CAREER CENTER,168-25,JAMAICA AVENUE,168-25 JAMAICA AVENUE,JAMAICA,QUEENS,40.70714691,-73.79164812
EMPIRE RECYCLING SERVICES (ASTORIA CARTING),538,STEWART AVENUE,538 STEWART AVENUE,BROOKLYN,BROOKLYN,40.72571812,-73.93298423
"SIGNATURE THEATRE COMPANY, INC.",630,NINTH AVENUE,630 NINTH AVENUE,NEW YORK,MANHATTAN,40.75991544,-73.99115426
"YAFFA CULTURAL ARTS, INC.",,,,NEW YORK,MANHATTAN,,
CAREER BLAZERS LEARNING CENTER,290,MADISON AVENUE,290 MADISON AVENUE,NEW YORK,MANHATTAN,40.75188738,-73.9803019
BRIARWOOD SUMMER PROGRAM,80-20,134 STREET,80-20 134 STREET,JAMAICA,QUEENS,40.7152079,-73.82455041
SEVEN STORIES INSTITUTE,2113,AMSTERDAM AVENUE,2113 AMSTERDAM AVENUE,NEW YORK,MANHATTAN,40.83763213,-73.93823862
FARMERS GARDEN FOOD DROP-OFF SITE,1899,BERGEN STREET,1899 BERGEN STREET,BROOKLYN,BROOKLYN,40.67460982,-73.91826584
"LIFE THROUGH DANCE, INC.",345,RIVERSIDE DRIVE,345 RIVERSIDE DRIVE,NEW YORK,MANHATTAN,40.80265074,-73.96944971
GED-P2G-FAR ROCKAWAY HS,57-10,BEACH CHANNEL DRIVE,57-10 BEACH CHANNEL DRIVE,ARVERNE,QUEENS,40.59521864,-73.7876989
FK LANDFILL/SI GARAGE 2/NYPD,2500,RICHMOND AVENUE,2500 RICHMOND AVENUE,STATEN ISLAND,STATEN ISLAND,40.579272,-74.174708
"BOOKLYN, INC.",140,58 STREET,140 58 STREET,BROOKLYN,BROOKLYN,40.64549947,-74.02389825
ARSENAL NORTH/HECKSCHER BLDG,1,EAST 104 STREET,1 EAST 104 STREET,NEW YORK,MANHATTAN,40.793099,-73.951371
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL QUEENS,37-12,82 STREET,37-12 82 STREET,JACKSON HEIGHTS,QUEENS,40.74901732,-73.88447195
7 VANDAM STREET PARKING CORP.,14,CHARLTON STREET,14 CHARLTON STREET,NEW YORK,MANHATTAN,40.72667702,-74.00387057
CAROLE GARDENS REALTY LLC,139-21,86 AVENUE,139-21 86 AVENUE,JAMAICA,QUEENS,40.70831175,-73.81599935
CARCAMOS TOWING SERVICE CORP.,,,,,,,
"LAZ PARKING NEW YORK/NEW JERSEY, LLC",347,EAST 17 STREET,347 EAST 17 STREET,NEW YORK,MANHATTAN,40.73363835,-73.98142775
"BUDHU, GANESH",148-15,89 AVENUE,148-15 89 AVENUE,JAMAICA,QUEENS,40.70463898,-73.8071177
ST. ANSELM'S ROMAN CATHOLIC CHURCH COMPLEX,,,,BRONX,BRONX,40.81619954,-73.90564535
HOSPITAL CLINIC,139,MENAHAN STREET,139 MENAHAN STREET,BROOKLYN,BROOKLYN,40.69603448,-73.91948216
"BAS PARKING, INC.",530,EAST 72 STREET,530 EAST 72 STREET,NEW YORK,MANHATTAN,40.76579623,-73.95199173
ENSEMBLE FOR THE ROMANTIC CENTURY,214,WEST 50 STREET,214 WEST 50 STREET,NEW YORK,MANHATTAN,40.76149553,-73.98476133
EAST 61ST STREET PARKING GARAGE CORP.,150,EAST 61 STREET,150 EAST 61 STREET,NEW YORK,MANHATTAN,40.76315573,-73.9670827
ELY AVENUE SEWAGE PUMPING STATION,,ELY AVENUE,ELY AVENUE,BRONX,BRONX,40.861157,-73.831351
WEST 12TH STREET GARAGE LLC,101,WEST 12 STREET,101 WEST 12 STREET,NEW YORK,MANHATTAN,40.7364628,-73.99794402
STATEN ISLAND CIVIL AND COUNTY CLERK,130,STUYVESANT PLACE,130 STUYVESANT PLACE,STATEN ISLAND,STATEN ISLAND,40.64277,-74.077256
OFFICES,374-76,WEST 125 STREET,374-76 WEST 125 STREET,NEW YORK,MANHATTAN,40.810955,-73.953764
BRACETTI PLAZA,296,EAST 4 STREET,296 EAST 4 STREET,NEW YORK,MANHATTAN,40.72218712,-73.9810028
HUNTS POINT WWTP,1270,RYAWA AVENUE,1270 RYAWA AVENUE,BRONX,BRONX,40.802714,-73.882273
"WEST 89TH STREET, STABLES AT 167, 169, 171",,,,NEW YORK,MANHATTAN,40.78948824,-73.97271459
ROCKAWAY WORKFORCE1 CAREER CENTER,57-17,SHORE FRONT PARKWAY,57-17 SHORE FRONT PARKWAY,ARVERNE,QUEENS,40.59153876,-73.78782648
LAVELLE SCHOOL FOR THE BLIND,3830,PAULDING AVENUE,3830 PAULDING AVENUE,BRONX,BRONX,40.88177983,-73.85324535
"UNITED SENIOR CITIZEN OF SUNSET PARK,INC",475,53 STREET,475 53 STREET,BROOKLYN,BROOKLYN,40.6437503,-74.01214212
EDGEWATER COLLISION INCORPORATED,1321,OAKPOINT AVENUE,1321 OAKPOINT AVENUE,BRONX,BRONX,40.81090507,-73.88418789
AMERICAN AUTO BODY INC.,308,FRONT STREET,308 FRONT STREET,STATEN ISLAND,STATEN ISLAND,40.62936304,-74.07497562
92ND REALTY LLC,441,EAST 92 STREET,441 EAST 92 STREET,NEW YORK,MANHATTAN,40.780299,-73.94452782
PARK,,,,WOODSIDE,QUEENS,40.74204119,-73.89706121
"IMPERIAL PARKING (U.S.), LLC",135,NORTH 11 STREET,135 NORTH 11 STREET,BROOKLYN,BROOKLYN,40.72059311,-73.95588701
200 BRADHURST GARAGE CORP.,130,BRADHURST AVENUE,130 BRADHURST AVENUE,NEW YORK,MANHATTAN,40.82524845,-73.94097528
JUAN MOREL CAMPOS CAMPUS,215,HEYWARD STREET,215 HEYWARD STREET,BROOKLYN,BROOKLYN,40.70387687,-73.95347662
BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,4915,10 AVENUE,4915 10 AVENUE,BROOKLYN,BROOKLYN,40.63847534,-73.99862226
SAM USED AUTO PARTS CORP,338,BRYANT AVENUE,338 BRYANT AVENUE,BRONX,BRONX,40.80862506,-73.88385859
ST THOMAS AQUINAS,1909,DALY AVENUE,1909 DALY AVENUE,BRONX,BRONX,40.84064716,-73.88488548
"FIST AND HEEL PERFORMANCE GROUP, INC.",476,DEAN STREET,476 DEAN STREET,BROOKLYN,BROOKLYN,40.68141203,-73.97477791
FERRY TERMINAL,,KENT AVENUE,KENT AVENUE,BROOKLYN,BROOKLYN,40.7089,-73.970189
"CITY OF NEW YORK, ST. GEORGE, STATEN ISLAND FERRY TERMINAL, OIL PIER.",,,,STATEN ISLAND,STATEN ISLAND,40.644977,-74.073981
P.S. 021 EDWARD HART,147-36,26 AVENUE,147-36 26 AVENUE,FLUSHING,QUEENS,40.77417894,-73.81839407
PASAGES ACADEMY (CROSSROADS),17,BRISTOL STREET,17 BRISTOL STREET,BROOKLYN,BROOKLYN,40.670652,-73.912405
"CEDAR LAKE, INC.",547,WEST 26 STREET,547 WEST 26 STREET,NEW YORK,MANHATTAN,40.7505212,-74.00439878
P.S. 157 GROVE HILL,757,CAULDWELL AVENUE,757 CAULDWELL AVENUE,BRONX,BRONX,40.81928052,-73.90909173
SOUTHERN FUELS LLC,766,SOUTHERN BOULEVARD,766 SOUTHERN BOULEVARD,BRONX,BRONX,40.81516598,-73.89692378
MARK A. COSTANTINO JUDICIAL CT,18,SCHUYLER STREET,18 SCHUYLER STREET,STATEN ISLAND,STATEN ISLAND,40.642968,-74.076388
KINGSBRIDGE DEPOT,,,,NEW YORK,MANHATTAN,40.870358,-73.913271
ACE AUTO WORLD INC,95,RECTOR STREET,95 RECTOR STREET,STATEN ISLAND,STATEN ISLAND,40.63440035,-74.12789599
EQUITABLE BUILDING,,,,NEW YORK,MANHATTAN,40.70822765,-74.01051961
NW LORING PLACE NORTH & HALL OF FAME TERRACE FOOD DROP-OFF SITE,,,,BRONX,BRONX,40.85886086,-73.91091943
APPLEBEE'S GRILL + BAR TEXTILE DROP-OFF SITE,,,"2655 RICHMOND AVE, STATEN ISLAND, NY 10314, USA",STATEN ISLAND,STATEN ISLAND,40.58187,-74.165866
P.S. 298 DR. BETTY SHABAZZ,85,WATKINS STREET,85 WATKINS STREET,BROOKLYN,BROOKLYN,40.67106526,-73.90776212
BCA SUMMER CAMP AT PS 160,5101,FT HAMILTON PARKWAY,5101 FT HAMILTON PARKWAY,BROOKLYN,BROOKLYN,40.63692775,-73.99903766
MAYOR JOHN PURROY MITCHEL (2),210,ALEXANDER AVENUE,210 ALEXANDER AVENUE,BRONX,BRONX,40.80894259,-73.92543504
SP PLUS CORPORATION,39,EAST 29 STREET,39 EAST 29 STREET,NEW YORK,MANHATTAN,40.74435192,-73.98412143
B'WAY/HARLEM RIVER SUBSTATION,4175,9 AVENUE,4175 9 AVENUE,NEW YORK,MANHATTAN,40.872949,-73.911488
NYC PARKS-J HOOD WRIGHT PARK,,,,NEW YORK,MANHATTAN,40.76536502,-73.96467004
26TH WARD WWTP,12266,FLATLANDS AVENUE,12266 FLATLANDS AVENUE,BROOKLYN,BROOKLYN,40.652421,-73.879018
MP EAST 29 LLC,331,EAST 29 STREET,331 EAST 29 STREET,NEW YORK,MANHATTAN,40.74126287,-73.9767406
RRM - BX STREET MAINTENANCE,3200,CONNER STREET,3200 CONNER STREET,BRONX,BRONX,40.8809393,-73.82180264
CONCERNED POSITIVE WOMEN OF NGB,219-09,LINDEN BOULEVARD,219-09 LINDEN BOULEVARD,CAMBRIA HEIGHTS,QUEENS,40.69555112,-73.74061487
BROOKLYN CENTRAL YMCA,,,50 GRACE COURT,BROOKLYN,BROOKLYN,40.6941907,-73.99750218
"DESIPINA PRODUCTIONS, INC.",138,SOUTH OXFORD STREET,138 SOUTH OXFORD STREET,BROOKLYN,BROOKLYN,40.68514086,-73.97354594
WOODSIDE,50-19,BROADWAY,50-19 BROADWAY,WOODSIDE,QUEENS,40.75532223,-73.91041656
ARCHBISHOP MOLLOY HIGH SCHOOL,83-53,MANTON STREET,83-53 MANTON STREET,JAMAICA,QUEENS,40.71111183,-73.81981635
MUSIC IN THE CENTER,2350,BROADWAY,2350 BROADWAY,NEW YORK,MANHATTAN,40.78778529,-73.97640203
OFFICES,250,BALTIC STREET,250 BALTIC STREET,BROOKLYN,BROOKLYN,40.686113,-73.994765
COMPASS CHARTER SCHOOL,300,ADELPHI STREET,300 ADELPHI STREET,BROOKLYN,BROOKLYN,40.68853182,-73.97147327
DYCKMAN JOB CENTER,4055,10 AVENUE,4055 10 AVENUE,NEW YORK,MANHATTAN,40.870088,-73.913853
VS PARKING GARAGE CORP.,275,PARK AVENUE,275 PARK AVENUE,BROOKLYN,BROOKLYN,40.69618709,-73.96773267
BORDERLINE AUTO COLLISION & REPAIRS INC,3770,MERRITT AVENUE,3770 MERRITT AVENUE,BRONX,BRONX,40.88740925,-73.82900876
LUMBER EXCHANGE TERMINAL PIER,,,,BROOKLYN,BROOKLYN,40.733065,-73.9623
RAINEY PARK,,,,ASTORIA,QUEENS,40.76633429,-73.94082279
PORT PARKING LLC,235,WEST 48 STREET,235 WEST 48 STREET,NEW YORK,MANHATTAN,40.76088054,-73.98598879
"BIG APPLE PERFORMING ARTS, INC.",676A,9 AVENUE,676A 9 AVENUE,NEW YORK,MANHATTAN,40.76133983,-73.99018351
NYCT FACILITY,,,,NEW YORK,MANHATTAN,40.739463,-74.002367
SP PLUS CORPORATION,885,6 AVENUE,885 6 AVENUE,NEW YORK,MANHATTAN,40.74843558,-73.98932045
P.S. 58 - THE SCHOOL OF HEROES,72-24,GRAND AVENUE,72-24 GRAND AVENUE,MASPETH,QUEENS,40.72869673,-73.89006273
SI01G GARAGE,539,JERSEY STREET,539 JERSEY STREET,STATEN ISLAND,STATEN ISLAND,40.63637595,-74.08416471
HAYM SOLOMON HOME FOR THE AGED,2340,CROPSEY AVENUE,2340 CROPSEY AVENUE,BROOKLYN,BROOKLYN,40.59485857,-73.99658974
"NAKED ANGELS, LTD.",151,BANK STREET,151 BANK STREET,NEW YORK,MANHATTAN,40.73655989,-74.00901108
"LAZ PARKING NEW YORK/NEW JERSEY, LLC",90,FURMAN STREET,90 FURMAN STREET,BROOKLYN,BROOKLYN,40.70157239,-73.99585781
"BURDEN, JAMES A. JR., HOUSE AND KAHN, OTTO H. HOUSE",,,,NEW YORK,MANHATTAN,40.78471878,-73.95748986
"ST. PETER'S CHURCH, CHAPEL AND CEMETERY COMPLEX",,,,BRONX,BRONX,40.8383244,-73.84391674
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,1600,ROCKAWAY PARKWAY,1600 ROCKAWAY PARKWAY,BROOKLYN,BROOKLYN,40.64043381,-73.89850364
30 GARAGE CORP.,30,EAST END AVENUE,30 EAST END AVENUE,NEW YORK,MANHATTAN,40.77173385,-73.94777827
RIVERSIDE CHURCH WEEK DAY SCHOOL,490,RIVERSIDE DRIVE,490 RIVERSIDE DRIVE,NEW YORK,MANHATTAN,40.81199611,-73.9630282
"MA-YI FILIPINO THEATRE ENSEMBLE, INC.",520,EIGHTH AVENUE,520 EIGHTH AVENUE,NEW YORK,MANHATTAN,40.75361692,-73.99190514
TOMPKINSVILLE,,,,STATEN ISLAND,STATEN ISLAND,40.633891,-74.074735
VANCITY PARKING INC,415,GREENWICH STREET,415 GREENWICH STREET,NEW YORK,MANHATTAN,40.72176543,-74.0094991
TM MAINTENANCE INC,451,SPENCER STREET,451 SPENCER STREET,STATEN ISLAND,STATEN ISLAND,40.60250871,-74.19567046
ALTERNATE LEARNING CTR AT CHOIR ACAD,2005,MADISON AVENUE,2005 MADISON AVENUE,NEW YORK,MANHATTAN,40.80697843,-73.93861009
SUCCESS ACADEMY CS-UPPER WEST,145,WEST 84 STREET,145 WEST 84 STREET,NEW YORK,MANHATTAN,40.78596501,-73.97405025
ROCHDALE EARLY ADVANTAGE CS,122-05,SMITH STREET,122-05 SMITH STREET,JAMAICA,QUEENS,40.67974053,-73.77818105
"CHAMPION PARKING 16, LLC",101,EAST 16 STREET,101 EAST 16 STREET,NEW YORK,MANHATTAN,40.73601288,-73.98889042
32 JAMAICA AVE TEXTILE DROP-OFF SITE,,,"32 JAMAICA AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.677217,-73.898585
CHHAYA COMMUNITY DEVELOPMENT CORPORATION,37-43,77 STREET,37-43 77 STREET,JACKSON HEIGHTS,QUEENS,40.7479675,-73.88858302
"CHINESE COMMUNITY CENTER OF FLUSHING, INC.",43-17,UNION STREET,43-17 UNION STREET,FLUSHING,QUEENS,40.75437503,-73.82103753
SALVATION ARMY ELECTRONICS DROP-OFF SITE,,,2053 CLOVE RD,STATEN ISLAND,STATEN ISLAND,40.605057,-74.083695
"COVENANT BALLET THEATRE OF BROOKLYN, INC.",4750,BEDFORD AVENUE,4750 BEDFORD AVENUE,BROOKLYN,BROOKLYN,40.58568811,-73.944411
SMITH STREET SUBSTATION AND RIGHT OF WAY F,140,2 PLACE,140 2 PLACE,BROOKLYN,BROOKLYN,40.678714,-73.996124
MAXIMUS ROADSIDE CORP,1894,EASTCHESTER ROAD,1894 EASTCHESTER ROAD,BRONX,BRONX,40.85147981,-73.84352744
"BIG TREE PRODUCTIONS, INC.",42,HORATIO STREET,42 HORATIO STREET,NEW YORK,MANHATTAN,40.7386346,-74.00490088
HIGH PUMPING STATION,,,,BRONX,BRONX,40.8783117,-73.88676298
EL GARDEN FOOD DROP-OFF SITE,120,JEFFERSON STREET,120 JEFFERSON STREET,BROOKLYN,BROOKLYN,40.69952044,-73.93060437
PARKING SERVICES PLUS INC,1,ORCHARD BEACH ROAD,1 ORCHARD BEACH ROAD,BRONX,BRONX,40.86834651,-73.79814124
1255 WESTCHESTER AVE TEXTILE DROP-OFF SITE,,,"1255 WESTCHESTER AVENUE, BRONX, NY, USA",BRONX,BRONX,40.827207,-73.8876
P.S. 146 EDWARD COLLINS,968,CAULDWELL AVENUE,968 CAULDWELL AVENUE,BRONX,BRONX,40.82494123,-73.90576471
P.S. 184M SHUANG WEN,327,CHERRY STREET,327 CHERRY STREET,NEW YORK,MANHATTAN,40.71135696,-73.98552356
IRT SUBSTATION UNDER HWY BRIDG,,50 AVENUE,50 AVENUE,LONG ISLAND CITY,QUEENS,40.741916,-73.951827
BAYBRIDGE GREEN,,,,BAYSIDE,QUEENS,40.78505147,-73.7862046
COMPETITION AUTO WORKS INC,18-67,42 STREET,18-67 42 STREET,ASTORIA,QUEENS,40.77755635,-73.89720143
"PROPARK AMERICA NEW YORK, LLC",168-35,ROCKAWAY BOULEVARD,168-35 ROCKAWAY BOULEVARD,JAMAICA,QUEENS,40.6589881,-73.77178211
PRALL PLAYGROUND,880,FOREST AVENUE,880 FOREST AVENUE,STATEN ISLAND,STATEN ISLAND,40.62827922,-74.11756786
BOERUM ST SUBSTATION,214,BOERUM STREET,214 BOERUM STREET,BROOKLYN,BROOKLYN,40.706036,-73.939251
333 SENECA AVE TEXTILE DROP-OFF SITE,,,"333 SENECA AVE, FLUSHING, NY 11385, USA",RIDGEWOOD,QUEENS,40.707648,-73.915231
CROYDEN PARKING LLC,12,EAST 86 STREET,12 EAST 86 STREET,NEW YORK,MANHATTAN,40.78068347,-73.95952913
SURF AVENUE PARKING LLC,1904,SURF AVENUE,1904 SURF AVENUE,BROOKLYN,BROOKLYN,40.57297583,-73.98588261
HORTICULTURAL SOCIETY OF NEW YORK,148,WEST 37 STREET,148 WEST 37 STREET,NEW YORK,MANHATTAN,40.75250681,-73.98886631
ASTRAL APARTMENTS,,,,BROOKLYN,BROOKLYN,40.73173362,-73.95756767
"HARVESTWORKS, INC.",596,BROADWAY,596 BROADWAY,NEW YORK,MANHATTAN,40.72480609,-73.99671188
JEROME-GUN HILL GARAGE,3518,JEROME AVENUE,3518 JEROME AVENUE,BRONX,BRONX,40.883263,-73.880406
LAREDO AVENUE PARCEL,,,,STATEN ISLAND,STATEN ISLAND,40.54846167,-74.17394668
HENRY J. CARTER SPECIALTY HOSPITAL,1752,PARK AVENUE,1752 PARK AVENUE,NEW YORK,MANHATTAN,40.80299579,-73.94111149
SEASIDE PLAYGROUND,109-27,ROCKAWAY BEACH BOULEVARD,109-27 ROCKAWAY BEACH BOULEVARD,FAR ROCKAWAY,QUEENS,40.58094916,-73.83137048
11 METROTECH CENTER,,,,BROOKLYN,BROOKLYN,40.695225,-73.984497
NYPD 109TH PRECINCT STATION HOUSE,37-05,UNION STREET,37-05 UNION STREET,FLUSHING,QUEENS,40.762326,-73.826912
DILLON CHILD STUDY CENTER,239,VANDERBILT AVENUE,239 VANDERBILT AVENUE,BROOKLYN,BROOKLYN,40.6907692,-73.96911327
ACHIEVEMENT FIRST CROWN HEIGHTS,790,EAST NEW YORK AVENUE,790 EAST NEW YORK AVENUE,BROOKLYN,BROOKLYN,40.66206795,-73.93644097
2600 HYLAN BLVD TEXTILE DROP-OFF SITE,,,"2600 HYLAN BLVD, STATEN ISLAND, NY, USA",STATEN ISLAND,STATEN ISLAND,40.56625,-74.11127
NY FOUND-SR CITIZENS EHP#5 CLINTON GARDENS,,,404-412 W. 54 ST.- CLINTON GARDENS,NEW YORK,MANHATTAN,40.766074,-73.990123
WASHINGTON SQUARE PARK,3,WASHINGTON SQUARE NORTH,3 WASHINGTON SQUARE NORTH,NEW YORK,MANHATTAN,40.73113254,-73.9956363
ROLPH HENRY PLAYGROUND,748,NEW YORK AVENUE,748 NEW YORK AVENUE,BROOKLYN,BROOKLYN,40.65567709,-73.94749369
THE THRIFTY HOG TEXTILE DROP-OFF SITE,,,"11 W 25TH ST, NEW YORK, NY 10010, USA",NEW YORK,MANHATTAN,40.74349,-73.989643
CHERRY KIDS INC,1723,MADISON AVENUE,1723 MADISON AVENUE,NEW YORK,MANHATTAN,40.79824287,-73.94572285
CABRINI GARAGE CORP.,900,WEST 190 STREET,900 WEST 190 STREET,NEW YORK,MANHATTAN,40.85683309,-73.93638536
"CARNEGIE CAR PARK, INC.",40,EAST 94 STREET,40 EAST 94 STREET,NEW YORK,MANHATTAN,40.78557571,-73.95497943
58 GARAGE MGMT LLC,58,WEST 58 STREET,58 WEST 58 STREET,NEW YORK,MANHATTAN,40.76445551,-73.976384
OFFICES,104-01,METROPOLITAN AVENUE,104-01 METROPOLITAN AVENUE,FOREST HILLS,QUEENS,40.710363,-73.848801
1840 PARKING LOT L.L.C.,1840,HARRISON AVENUE,1840 HARRISON AVENUE,BRONX,BRONX,40.85101487,-73.91310544
SHEEPSHEAD BAY #1 PRKNG FIELD,2602,EAST 17 STREET,2602 EAST 17 STREET,BROOKLYN,BROOKLYN,40.587764,-73.952698
LITTLE ANGELS DAYCARE CENTER,1068,PUTNAM AVENUE,1068 PUTNAM AVENUE,BROOKLYN,BROOKLYN,40.68731493,-73.91932092
NY HOTEL TRADES COUNCIL&HOTEL ASSOC OF NYC HEALTH/MIDTOWN CLINIC,773,9 AVENUE,773 9 AVENUE,NEW YORK,MANHATTAN,40.76472452,-73.98841319
P.S. 89,201,WARREN STREET,201 WARREN STREET,NEW YORK,MANHATTAN,40.71696875,-74.01379276
1011 ROGERS AVE TEXTILE DROP-OFF SITE,,,"1011 ROGERS AVENUE, BROOKLYN, NY, USA",BROOKLYN,BROOKLYN,40.645522,-73.951598
GEORGE EAGLE CARR COMMUNITY GARDEN,,,,JAMAICA,QUEENS,40.70370925,-73.80705648
PATHWAYS TO GRADUATION A BEDFORD STU,832,MARCY AVENUE,832 MARCY AVENUE,BROOKLYN,BROOKLYN,40.68461075,-73.94796478
QP HOSP LLC,1527,BLONDELL AVENUE,1527 BLONDELL AVENUE,BRONX,BRONX,40.84577542,-73.84587341
